gene_id	Uniprot	Pfam	Refseq	Nr	Tigrfam	COG	KEGG	Pathway	GO
assembly_01757	Uncharacterized protein YhgE`	PF04111.9`APG6`Autophagy protein Apg6;PF08653.7`DASH_Dam1`DASH complex subunit Dam1;PF01061.21`ABC2_membrane`ABC-2 type transporter;PF00015.18`MCPsignal`Methyl-accepting chemotaxis protein (MCP) signalling domain;PF12051.5`DUF3533`Protein of unknown function (DUF3533);PF06103.8`DUF948`Bacterial protein of unknown function (DUF948);PF12325.5`TMF_TATA_bd`TATA element modulatory factor 1 TATA binding;PF06156.10`DUF972`Protein of unknown function (DUF972);PF06320.10`GCN5L1`GCN5-like protein 1 (GCN5L1);PF04582.9`Reo_sigmaC`Reovirus sigma C capsid protein;PF10046.6`BLOC1_2`Biogenesis of lysosome-related organelles complex-1 subunit 2;PF08317.8`Spc7`Spc7 kinetochore protein;PF07106.10`TBPIP`Tat binding protein 1(TBP-1)-interacting protein (TBPIP);PF12698.4`ABC2_membrane_3`ABC-2 family transporter protein;PF07889.9`DUF1664`Protein of unknown function (DUF1664)	WP_024862823.1`YhgE/Pip domain-containing protein	YhgE/Pip domain-containing protein [Pediococcus acidilactici]	TIGR03062`pip_yhgE_Cterm: YhgE/Pip C-terminal domain;TIGR03057`xxxLxxG_by_4: X-X-X-Leu-X-X-Gly heptad repeats;TIGR03061`pip_yhgE_Nterm: YhgE/Pip N-terminal domain;TIGR04523`Mplasa_alph_rch: helix-rich protein;TIGR03929`T7_esaA_Nterm: type VII secretion protein EsaA;TIGR02168`SMC_prok_B: chromosome segregation protein SMC;TIGR04211`SH3_and_anchor: SH3 domain protein;TIGR02169`SMC_prok_A: chromosome segregation protein SMC	Uncharacterized membrane protein YhgE, phage infection protein (PIP) family`Function unknown`S	-	-	GO:0005886`plasma membrane`cellular_component;GO:0016021`integral component of membrane`cellular_component
assembly_00848	UDP-N-acetylmuramoylalanine--D-glutamate ligase`	PF08245.9`Mur_ligase_M`Mur ligase middle domain;PF02875.18`Mur_ligase_C`Mur ligase family, glutamate ligase domain;PF01225.22`Mur_ligase`Mur ligase family, catalytic domain	WP_024863064.1`UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [Pediococcus acidilactici]	TIGR02068`cya_phycin_syn: cyanophycin synthetase;TIGR01499`folC: bifunctional protein FolC;TIGR01081`mpl: UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase;TIGR01143`murF: UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase;TIGR01082`murC: UDP-N-acetylmuramate--L-alanine ligase;TIGR01087`murD: UDP-N-acetylmuramoylalanine--D-glutamate ligase;TIGR01085`murE: UDP-N-acetylmuramyl-tripeptide synthetase	UDP-N-acetylmuramoylalanine-D-glutamate ligase`Cell wall/membrane/envelope biogenesis`M	assembly_00848`K01925	D-Glutamine and D-glutamate metabolism`ko00471;Peptidoglycan biosynthesis`ko00550	GO:0005737`cytoplasm`cellular_component;GO:0008764`UDP-N-acetylmuramoylalanine-D-glutamate ligase activity`molecular_function;GO:0007049`cell cycle`biological_process;GO:0071555`cell wall organization`biological_process;GO:0008360`regulation of cell shape`biological_process;GO:0051301`cell division`biological_process;GO:0005524`ATP binding`molecular_function;GO:0009252`peptidoglycan biosynthetic process`biological_process
assembly_01604	Probable glutamine ABC transporter permease protein GlnM`	PF00528.19`BPD_transp_1`Binding-protein-dependent transport system inner membrane component	WP_002831087.1`amino acid ABC transporter permease	amino acid ABC transporter permease [Pediococcus acidilactici]	TIGR03004`ectoine_ehuC: ectoine/hydroxyectoine ABC transporter, permease protein EhuC;TIGR03003`ectoine_ehuD: ectoine/hydroxyectoine ABC transporter, permease protein EhuD;TIGR01726`HEQRo_perm_3TM: amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family;TIGR01097`PhnE: phosphonate ABC transporter, permease protein PhnE;TIGR00974`3a0107s02c: phosphate ABC transporter, permease protein PstA	ABC-type amino acid transport system, permease component`Amino acid transport and metabolism`E	assembly_01604`K10040	ABC transporters`ko02010	GO:0043190`ATP-binding cassette (ABC) transporter complex`cellular_component;GO:0006865`amino acid transport`biological_process;GO:0022857`transmembrane transporter activity`molecular_function;GO:0005886`plasma membrane`cellular_component
assembly_01348	Deoxyguanosine kinase`	PF01712.16`dNK`Deoxynucleoside kinase;PF13671.3`AAA_33`AAA domain;PF13207.3`AAA_17`AAA domain;PF02223.14`Thymidylate_kin`Thymidylate kinase;PF00448.19`SRP54`SRP54-type protein, GTPase domain	WP_002830685.1`deoxynucleoside kinase	-	-	Deoxyadenosine/deoxycytidine kinase`Nucleotide transport and metabolism`F	-	-	GO:0005524`ATP binding`molecular_function;GO:0004138`deoxyguanosine kinase activity`molecular_function
assembly_01338	Aspartate racemase`	PF01177.19`Asp_Glu_race`Asp/Glu/Hydantoin racemase	WP_002830693.1`amino acid racemase	amino acid racemase [Pediococcus acidilactici]	TIGR00067`glut_race: glutamate racemase;TIGR00035`asp_race: aspartate racemase	Aspartate/glutamate racemase`Cell wall/membrane/envelope biogenesis`M	assembly_01338`K01779	Alanine, aspartate and glutamate metabolism`ko00250;Nonribosomal peptide structures`ko01054	GO:0047689`aspartate racemase activity`molecular_function;GO:0006807`nitrogen compound metabolic process`biological_process
assembly_01179	Arginine repressor`	PF02863.15`Arg_repressor_C`Arginine repressor, C-terminal domain;PF16902.2`Type2_restr_D3`Type-2 restriction enzyme D3 domain;PF01316.18`Arg_repressor`Arginine repressor, DNA binding domain	WP_002831464.1`MULTISPECIES: ArgR family transcriptional regulator	MULTISPECIES: ArgR family transcriptional regulator [Firmicutes]	TIGR01529`argR_whole: arginine repressor	Arginine repressor`Transcription`K	-	-	GO:0006526`arginine biosynthetic process`biological_process;GO:0005737`cytoplasm`cellular_component;GO:0051259`protein oligomerization`biological_process;GO:0003677`DNA binding`molecular_function;GO:0034618`arginine binding`molecular_function;GO:0003700`transcription factor activity, sequence-specific DNA binding`molecular_function
assembly_01713	Ethanolamine utilization protein EutN`	PF03319.10`EutN_CcmL`Ethanolamine utilisation protein EutN/carboxysome	WP_002830147.1`ethanolamine utilization protein EutN	ethanolamine utilization protein EutN [Pediococcus acidilactici]	TIGR02703`carboxysome_A: carboxysome peptide A;TIGR02704`carboxysome_B: carboxysome peptide B	Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM`Secondary metabolites biosynthesis, transport and catabolism`Q	-	-	GO:0046336`ethanolamine catabolic process`biological_process
assembly_00983	-	PF01476.17`LysM`LysM domain;PF12685.4`SpoIIIAH`SpoIIIAH-like protein;PF04375.11`HemX`HemX, putative uroporphyrinogen-III C-methyltransferase;PF07423.8`DUF1510`Protein of unknown function (DUF1510);PF06024.9`DUF912`Nucleopolyhedrovirus protein of unknown function (DUF912);PF14283.3`DUF4366`Domain of unknown function (DUF4366)	WP_024862315.1`LysM peptidoglycan-binding domain-containing protein	LysM peptidoglycan-binding domain-containing protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_01910	Bacteriocin pediocin PA-1`	PF10439.6`Bacteriocin_IIc`Bacteriocin class II with double-glycine leader peptide;PF01721.15`Bacteriocin_II`Class II bacteriocin;PF04604.10`L_biotic_typeA`Type-A lantibiotic	WP_002834575.1`MULTISPECIES: bacteriocin	MULTISPECIES: bacteriocin [Bacteria]	-	-	-	-	GO:0019835`cytolysis`biological_process;GO:0005576`extracellular region`cellular_component;GO:0042742`defense response to bacterium`biological_process
assembly_00163	Nucleobase transporter PlAzg2`	PF00860.17`Xan_ur_permease`Permease family	WP_002830917.1`NCS2 family permease	putative permease [Pediococcus acidilactici 7_4]	-	-	-	-	GO:0022857`transmembrane transporter activity`molecular_function;GO:0016021`integral component of membrane`cellular_component;GO:0005886`plasma membrane`cellular_component
assembly_01373	-	-	-	-	-	-	-	-	-
assembly_01285	Galactokinase`	PF10509.6`GalKase_gal_bdg`Galactokinase galactose-binding signature;PF00288.23`GHMP_kinases_N`GHMP kinases N terminal domain;PF08544.10`GHMP_kinases_C`GHMP kinases C terminal	WP_024862455.1`galactokinase	galactokinase [Pediococcus acidilactici]	TIGR00131`gal_kin: galactokinase;TIGR00549`mevalon_kin: mevalonate kinase	Galactokinase`Carbohydrate transport and metabolism`G	assembly_01285`K00849	Galactose metabolism`ko00052;Amino sugar and nucleotide sugar metabolism`ko00520	GO:0004335`galactokinase activity`molecular_function;GO:0005524`ATP binding`molecular_function;GO:0000287`magnesium ion binding`molecular_function;GO:0006012`galactose metabolic process`biological_process;GO:0005737`cytoplasm`cellular_component;GO:0005534`galactose binding`molecular_function
assembly_01281	Aspartate/glutamate permease AcaP`	PF13520.3`AA_permease_2`Amino acid permease	WP_024862452.1`amino acid permease	amino acid permease [Pediococcus acidilactici]	TIGR03813`put_Glu_GABA_T: putative glutamate/gamma-aminobutyrate antiporter;TIGR00910`2A0307_GadC: glutamate:gamma-aminobutyrate antiporter	Amino acid transporter`Amino acid transport and metabolism`E	-	-	GO:0005886`plasma membrane`cellular_component;GO:0016021`integral component of membrane`cellular_component;GO:0022857`transmembrane transporter activity`molecular_function;GO:0006865`amino acid transport`biological_process
assembly_00475	Uncharacterized protein ORF91`	-	-	-	-	-	-	-	-
assembly_01044	Uncharacterized transporter RP603`	PF07690.13`MFS_1`Major Facilitator Superfamily;PF00083.21`Sugar_tr`Sugar (and other) transporter	WP_024862343.1`multidrug effflux MFS transporter	multidrug effflux MFS transporter [Pediococcus acidilactici]	TIGR00711`efflux_EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family;TIGR00898`2A0119: cation transport protein;TIGR00881`2A0104: phosphoglycerate transporter family protein;TIGR00895`2A0115: MFS transporter, aromatic acid:H+ symporter (AAHS) family;TIGR00710`efflux_Bcr_CflA: drug resistance transporter, Bcr/CflA subfamily;TIGR00880`2_A_01_02: multidrug resistance protein	-	-	-	GO:0006855`drug transmembrane transport`biological_process;GO:0042910`xenobiotic transporter activity`molecular_function;GO:0016021`integral component of membrane`cellular_component;GO:0005886`plasma membrane`cellular_component
assembly_01221	Uncharacterized tRNA/rRNA methyltransferase YsgA`	PF08032.9`SpoU_sub_bind`RNA 2'-O ribose methyltransferase substrate binding;PF00588.16`SpoU_methylase`SpoU rRNA Methylase family	WP_005916544.1`RNA methyltransferase	RNA methyltransferase [Pediococcus acidilactici]	TIGR00186`rRNA_methyl_3: RNA methyltransferase, TrmH family, group 3	tRNA G18 (ribose-2'-O)-methylase SpoU`Translation, ribosomal structure and biogenesis`J	-	-	GO:0003723`RNA binding`molecular_function;GO:0006396`RNA processing`biological_process;GO:0008173`RNA methyltransferase activity`molecular_function
assembly_01069	Cell cycle protein GpsB`	PF15294.3`Leu_zip`Leucine zipper;PF05103.10`DivIVA`DivIVA protein;PF02183.15`HALZ`Homeobox associated leucine zipper;PF06005.9`DUF904`Protein of unknown function (DUF904)	WP_002831618.1`cell division regulator GpsB	cell cycle protein gpsB [Pediococcus acidilactici]	TIGR03544`DivI1A_domain: DivIVA domain	Cell division septum initiation DivIVA, interacts with FtsZ, MinD and other proteins`Cell cycle control, cell division, chromosome partitioning`D	-	-	GO:0008360`regulation of cell shape`biological_process;GO:0051301`cell division`biological_process;GO:0007049`cell cycle`biological_process;GO:0005737`cytoplasm`cellular_component
assembly_01163	Uncharacterized protein SAB1090`	PF13684.3`Dak1_2`Dihydroxyacetone kinase family;PF02734.14`Dak2`DAK2 domain	WP_024862405.1`DAK2 domain-containing protein	DAK2 domain-containing protein [Pediococcus acidilactici]	TIGR03599`YloV: DAK2 domain fusion protein YloV;TIGR02365`dha_L_ycgS: dihydroxyacetone kinase, L subunit	-	-	-	GO:0004371`glycerone kinase activity`molecular_function;GO:0006071`glycerol metabolic process`biological_process
assembly_01812	ATP-dependent helicase/deoxyribonuclease subunit B`	PF12705.4`PDDEXK_1`PD-(D/E)XK nuclease superfamily;PF04257.11`Exonuc_V_gamma`Exodeoxyribonuclease V, gamma subunit	WP_024862791.1`ATP-dependent helicase	ATP-dependent helicase [Pediococcus acidilactici]	TIGR02773`addB_Gpos: helicase-exonuclease AddAB, AddB subunit;TIGR02774`rexB_recomb: ATP-dependent nuclease subunit B	ATP-dependent helicase/DNAse subunit B`Replication, recombination and repair`L	-	-	GO:0008409`5'-3' exonuclease activity`molecular_function;GO:0003690`double-stranded DNA binding`molecular_function;GO:0000724`double-strand break repair via homologous recombination`biological_process;GO:0005524`ATP binding`molecular_function;GO:0003678`DNA helicase activity`molecular_function
assembly_01527	DNA polymerase III PolC-type`	PF16473.2`DUF5051`3' exoribonuclease, RNase T-like;PF00929.21`RNase_T`Exonuclease;PF01612.17`DNA_pol_A_exo1`3'-5' exonuclease	WP_002829901.1`exonuclease	exonuclease [Pediococcus acidilactici]	TIGR01405`polC_Gram_pos: DNA polymerase III, alpha subunit, Gram-positive type;TIGR00573`dnaq: exonuclease, DNA polymerase III, epsilon subunit family;TIGR01407`dinG_rel: putative DnaQ family exonuclease/DinG family helicase;TIGR01406`dnaQ_proteo: DNA polymerase III, epsilon subunit	DNA polymerase III, alpha subunit (gram-positive type)`Replication, recombination and repair`L	assembly_01527`K02342	DNA replication`ko03030;Mismatch repair`ko03430;Homologous recombination`ko03440;Pyrimidine metabolism`ko00240;Purine metabolism`ko00230	GO:0003677`DNA binding`molecular_function;GO:0006261`DNA-dependent DNA replication`biological_process;GO:0008408`3'-5' exonuclease activity`molecular_function;GO:0003887`DNA-directed DNA polymerase activity`molecular_function;GO:0005737`cytoplasm`cellular_component
assembly_01010	-	PF06445.12`GyrI-like`GyrI-like small molecule binding domain	WP_005917004.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_00293	-	PF09721.7`Exosortase_EpsH`Transmembrane exosortase (Exosortase_EpsH)	WP_008841930.1`exosortase family protein XrtG	exosortase family protein XrtG [Pediococcus acidilactici]	TIGR04293`archaeo_artF: archaeosortase family protein ArtF;TIGR04178`exo_archaeo: exosortase/archaeosortase family protein;TIGR03110`exosort_Gpos: exosortase family protein XrtG	-	-	-	-
assembly_01011	Acetyl-CoA acetyltransferase`	PF02803.15`Thiolase_C`Thiolase, C-terminal domain;PF00109.23`ketoacyl-synt`Beta-ketoacyl synthase, N-terminal domain;PF00108.20`Thiolase_N`Thiolase, N-terminal domain;PF07451.8`SpoVAD`Stage V sporulation protein AD (SpoVAD)	WP_005917001.1`acetyl-CoA C-acetyltransferase	acetyl-CoA C-acetyltransferase [Pediococcus acidilactici]	TIGR01930`AcCoA-C-Actrans: acetyl-CoA C-acyltransferase;TIGR03150`fabF: beta-ketoacyl-acyl-carrier-protein synthase II;TIGR02430`pcaF: 3-oxoadipyl-CoA thiolase;TIGR02446`FadI: acetyl-CoA C-acyltransferase FadI;TIGR02445`fadA: acetyl-CoA C-acyltransferase FadA;TIGR00747`fabH: 3-oxoacyl-[acyl-carrier-protein] synthase III	Acetyl-CoA acetyltransferase`Lipid transport and metabolism`I	assembly_01011`K00626	Fatty acid degradation`ko00071;Two-component system`ko02020;Carbon fixation pathways in prokaryotes`ko00720;Valine, leucine and isoleucine degradation`ko00280;Propanoate metabolism`ko00640;Benzoate degradation`ko00362;Lysine degradation`ko00310;Glyoxylate and dicarboxylate metabolism`ko00630;Terpenoid backbone biosynthesis`ko00900;Tryptophan metabolism`ko00380;Butanoate metabolism`ko00650;Synthesis and degradation of ketone bodies`ko00072;Pyruvate metabolism`ko00620;Fatty acid metabolism`ko01212;Carbon metabolism`ko01200	GO:0003985`acetyl-CoA C-acetyltransferase activity`molecular_function;GO:0005737`cytoplasm`cellular_component
assembly_00675	Putative alpha/beta hydrolase R526`	PF07859.10`Abhydrolase_3`alpha/beta hydrolase fold;PF01083.19`Cutinase`Cutinase;PF00135.25`COesterase`Carboxylesterase family;PF12695.4`Abhydrolase_5`Alpha/beta hydrolase family	WP_008841103.1`alpha/beta hydrolase	alpha/beta hydrolase [Pediococcus acidilactici]	-	-	-	-	GO:0019012`virion`cellular_component;GO:0016787`hydrolase activity`molecular_function
assembly_01674	Putative dihydroorotate dehydrogenase A (fumarate)`	PF01070.15`FMN_dh`FMN-dependent dehydrogenase;PF01180.18`DHO_dh`Dihydroorotate dehydrogenase;PF03060.12`NMO`Nitronate monooxygenase;PF01207.14`Dus`Dihydrouridine synthase (Dus);PF00977.18`His_biosynth`Histidine biosynthesis protein	WP_024862620.1`dihydroorotate dehydrogenase	dihydroorotate dehydrogenase [Pediococcus acidilactici]	TIGR00737`nifR3_yhdG: putative TIM-barrel protein, nifR3 family;TIGR01036`pyrD_sub2: dihydroorotate dehydrogenase (fumarate);TIGR01037`pyrD_sub1_fam: dihydroorotate dehydrogenase family protein	Dihydroorotate dehydrogenase`Nucleotide transport and metabolism`F	assembly_01674`K17828	Pyrimidine metabolism`ko00240	GO:1990663`dihydroorotate dehydrogenase (fumarate) activity`molecular_function;GO:0044205`'de novo' UMP biosynthetic process`biological_process;GO:0006207`'de novo' pyrimidine nucleobase biosynthetic process`biological_process;GO:0005737`cytoplasm`cellular_component
assembly_01658	Putative phosphatase YkrA`	PF13419.3`HAD_2`Haloacid dehalogenase-like hydrolase;PF08282.9`Hydrolase_3`haloacid dehalogenase-like hydrolase;PF12710.4`HAD`haloacid dehalogenase-like hydrolase;PF00702.23`Hydrolase`haloacid dehalogenase-like hydrolase;PF13344.3`Hydrolase_6`Haloacid dehalogenase-like hydrolase;PF05116.10`S6PP`Sucrose-6F-phosphate phosphohydrolase;PF03767.11`Acid_phosphat_B`HAD superfamily, subfamily IIIB (Acid phosphatase);PF02358.13`Trehalose_PPase`Trehalose-phosphatase	WP_004166745.1`Cof-type HAD-IIB family hydrolase	Cof-type HAD-IIB family hydrolase [Pediococcus acidilactici]	TIGR02463`MPGP_rel: mannosyl-3-phosphoglycerate phosphatase homolog;TIGR01486`HAD-SF-IIB-MPGP: mannosyl-3-phosphoglycerate phosphatase family;TIGR01490`HAD-SF-IB-hyp1: HAD hydrolase, family IB;TIGR00338`serB: phosphoserine phosphatase SerB;TIGR02461`osmo_MPG_phos: mannosyl-3-phosphoglycerate phosphatase;TIGR01670`KdsC-phosphatas: 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family;TIGR00099`Cof-subfamily: Cof-like hydrolase;TIGR01484`HAD-SF-IIB: HAD hydrolase, family IIB;TIGR01482`SPP-subfamily: sucrose-phosphate phosphatase subfamily;TIGR01487`Pglycolate_arch: phosphoglycolate phosphatase, TA0175-type;TIGR01485`SPP_plant-cyano: sucrose phosphatase;TIGR02471`sucr_syn_bact_C: sucrose-phosphate synthase, sucrose phosphatase-like domain	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases`Coenzyme transport and metabolism`H	assembly_01658`K07024	-	GO:0016791`phosphatase activity`molecular_function;GO:0000287`magnesium ion binding`molecular_function;GO:0005829`cytosol`cellular_component
assembly_00280	Stage 0 sporulation protein J`	PF08535.7`KorB`KorB domain;PF01978.16`TrmB`Sugar-specific transcriptional regulator TrmB;PF13384.3`HTH_23`Homeodomain-like domain;PF03683.10`UPF0175`Uncharacterised protein family (UPF0175);PF02195.15`ParBc`ParB-like nuclease domain;PF01381.19`HTH_3`Helix-turn-helix;PF12844.4`HTH_19`Helix-turn-helix domain;PF13560.3`HTH_31`Helix-turn-helix domain	WP_005918397.1`ParB/RepB/Spo0J family partition protein	ParB/RepB/Spo0J family partition protein [Pediococcus acidilactici]	TIGR00180`parB_part: ParB/RepB/Spo0J family partition protein;TIGR03734`PRTRC_parB: PRTRC system ParB family protein;TIGR03454`partition_RepB: plasmid partitioning protein RepB;TIGR04285`nucleoid_noc: nucleoid occlusion protein	Chromosome segregation protein Spo0J, contains ParB-like nuclease domain`Cell cycle control, cell division, chromosome partitioning`D	-	-	GO:0043590`bacterial nucleoid`cellular_component;GO:0045881`positive regulation of sporulation resulting in formation of a cellular spore`biological_process;GO:0005694`chromosome`cellular_component;GO:0007059`chromosome segregation`biological_process;GO:0003677`DNA binding`molecular_function;GO:0030435`sporulation resulting in formation of a cellular spore`biological_process
assembly_01283	Galactose-1-phosphate uridylyltransferase`	PF02744.14`GalP_UDP_tr_C`Galactose-1-phosphate uridyl transferase, C-terminal domain;PF01087.19`GalP_UDP_transf`Galactose-1-phosphate uridyl transferase, N-terminal domain	WP_024862453.1`UDP-glucose--hexose-1-phosphate uridylyltransferase	UDP-glucose--hexose-1-phosphate uridylyltransferase [Pediococcus acidilactici]	TIGR01239`galT_2: galactose-1-phosphate uridylyltransferase	Galactose-1-phosphate uridylyltransferase`Carbohydrate transport and metabolism`G	assembly_01283`K00965	Galactose metabolism`ko00052;Prolactin signaling pathway`ko04917;Amino sugar and nucleotide sugar metabolism`ko00520	GO:0008108`UDP-glucose:hexose-1-phosphate uridylyltransferase activity`molecular_function;GO:0005737`cytoplasm`cellular_component;GO:0006012`galactose metabolic process`biological_process
assembly_00183	-	PF05913.8`DUF871`Bacterial protein of unknown function (DUF871)	WP_024862685.1`DUF871 domain-containing protein	-	-	-	-	-	-
assembly_00114	-	PF06081.8`ArAE_1`Aromatic acid exporter family member 1	WP_024862722.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_01248	-	-	-	-	-	-	-	-	-
assembly_00478	-	-	-	-	-	-	-	-	-
assembly_00184	Putative permease IIC component YwbA`	PF02378.15`PTS_EIIC`Phosphotransferase system, EIIC	WP_002830555.1`PTS cellobiose transporter subunit IIC	PTS system, cellobiose-specific IIC component [Pediococcus acidilactici DSM 20284]	TIGR00394`lac_pts_IIC: PTS system, lactose-specific IIC component;TIGR00410`lacE: PTS system, lactose/cellobiose family IIC component;TIGR00359`cello_pts_IIC: PTS system, cellobiose-specific IIC component	Phosphotransferase system cellobiose-specific component IIC`Carbohydrate transport and metabolism`G	assembly_00184`K02761	Phosphotransferase system (PTS)`ko02060	GO:0009401`phosphoenolpyruvate-dependent sugar phosphotransferase system`biological_process;GO:0005886`plasma membrane`cellular_component;GO:0016021`integral component of membrane`cellular_component;GO:0008982`protein-N(PI)-phosphohistidine-sugar phosphotransferase activity`molecular_function
assembly_01367	-	-	-	-	-	-	-	-	-
assembly_01216	Phenylalanine--tRNA ligase beta subunit`	PF03147.11`FDX-ACB`Ferredoxin-fold anticodon binding domain;PF01588.17`tRNA_bind`Putative tRNA binding domain;PF03483.14`B3_4`B3/4 domain;PF03484.12`B5`tRNA synthetase B5 domain	WP_024862421.1`phenylalanine--tRNA ligase subunit beta	phenylalanine--tRNA ligase subunit beta [Pediococcus acidilactici]	TIGR00399`metG_C_term: methionine--tRNA ligase, beta subunit;TIGR00471`pheT_arch: phenylalanine--tRNA ligase, beta subunit;TIGR00469`pheS_mito: phenylalanine--tRNA ligase;TIGR00472`pheT_bact: phenylalanine--tRNA ligase, beta subunit	tRNA-binding EMAP/Myf domain`Translation, ribosomal structure and biogenesis`J;Phenylalanyl-tRNA synthetase beta subunit`Translation, ribosomal structure and biogenesis`J	assembly_01216`K01890	Aminoacyl-tRNA biosynthesis`ko00970	GO:0000049`tRNA binding`molecular_function;GO:0005524`ATP binding`molecular_function;GO:0000287`magnesium ion binding`molecular_function;GO:0006432`phenylalanyl-tRNA aminoacylation`biological_process;GO:0004826`phenylalanine-tRNA ligase activity`molecular_function;GO:0005737`cytoplasm`cellular_component
assembly_00533	-	-	-	-	-	-	-	-	-
assembly_01386	-	PF03706.10`LPG_synthase_TM`Lysylphosphatidylglycerol synthase TM region	WP_036667749.1`flippase-like domain-containing protein	flippase-like domain-containing protein [Pediococcus acidilactici]	TIGR00374`TIGR00374: TIGR00374 family protein	-	-	-	-
assembly_01178	DNA repair protein RecN`	PF03193.13`DUF258`Protein of unknown function, DUF258;PF13175.3`AAA_15`AAA ATPase domain;PF13304.3`AAA_21`AAA domain, putative AbiEii toxin, Type IV TA system;PF04582.9`Reo_sigmaC`Reovirus sigma C capsid protein;PF13555.3`AAA_29`P-loop containing region of AAA domain;PF02463.16`SMC_N`RecF/RecN/SMC N terminal domain;PF12308.5`Noelin-1`Neurogenesis glycoprotein;PF13476.3`AAA_23`AAA domain	WP_024862409.1`DNA repair protein RecN	DNA repair protein RecN [Pediococcus acidilactici]	TIGR02169`SMC_prok_A: chromosome segregation protein SMC;TIGR02857`CydD: thiol reductant ABC exporter, CydD subunit;TIGR00634`recN: DNA repair protein RecN	DNA repair ATPase RecN`Replication, recombination and repair`L	-	-	GO:0005524`ATP binding`molecular_function;GO:0006310`DNA recombination`biological_process;GO:0006281`DNA repair`biological_process
