Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Mass	EC number	Pathway	Function [CC]	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (molecular function)	Subcellular location [CC]
F9URR8	F9URR8_LACPL	2,5 diketo-D-gluconic acid-like reductase NADP dependent (Promiscuous) (EC 1.1.1.-)	lp_2803	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	288	lp_2803	32311	1.1.1.-					oxidoreductase activity [GO:0016491]	GO:0016491	oxidoreductase activity [GO:0016491]	
F9URR9	F9URR9_LACPL	Transcription regulator, LysR family	lp_2804	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	299	lp_2804	33986				DNA-templated transcription [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription [GO:0006351]	GO:0003677; GO:0003700; GO:0006351	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
F9URS0	F9URS0_LACPL	Hypothetical membrane protein, DUF1393 family	lp_2806	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	171	lp_2806	18081					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9URS2	F9URS2_LACPL	Extracellular protein	lp_2809	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	221	lp_2809	23206									
F9URS3	F9URS3_LACPL	Glycosyl hydrolase, family 25	lp_2810	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	432	lp_2810	49051				cell wall macromolecule catabolic process [GO:0016998]; peptidoglycan catabolic process [GO:0009253]		lysozyme activity [GO:0003796]; cell wall macromolecule catabolic process [GO:0016998]; peptidoglycan catabolic process [GO:0009253]	GO:0003796; GO:0009253; GO:0016998	lysozyme activity [GO:0003796]	
F9URS4	F9URS4_LACPL	Extracellular protein, membrane-anchored	lp_2812	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	256	lp_2812	28543					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9URS5	F9URS5_LACPL	DUF1694 domain-containing protein	lp_2813	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	167	lp_2813	19323									
F9URS6	F9URS6_LACPL	Transport protein, DUF554 family	lp_2816	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	225	lp_2816	23482					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9URS7	F9URS7_LACPL	Transcription regulator of multidrug-efflux transporter, MerR family	lp_2817	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	271	lp_2817	30260						DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
F9URS8	F9URS8_LACPL	Proton/sodium-glutamate/aspartate symport protein	gltT lp_2818	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	432	lp_2818	46288				carboxylic acid transport [GO:0046942]	membrane [GO:0016020]	membrane [GO:0016020]; symporter activity [GO:0015293]; carboxylic acid transport [GO:0046942]	GO:0015293; GO:0016020; GO:0046942	symporter activity [GO:0015293]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9URS9	F9URS9_LACPL	Hypothetical membrane protein, DUF1440 family	lp_2820	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	167	lp_2820	18217					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9URT0	F9URT0_LACPL	ABC transporter, permease protein	lp_2822	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	355	lp_2822	38130					plasma membrane [GO:0005886]	plasma membrane [GO:0005886]	GO:0005886		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9URT1	F9URT1_LACPL	ABC transporter, ATP-binding protein	lp_2823	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	226	lp_2823	24834						ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]	GO:0005524; GO:0016887; GO:0022857	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]	
F9URT2	F9URT2_LACPL	Purine nucleoside transporter	lp_2824	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	183	lp_2824	19534					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9URT3	F9URT3_LACPL	Purine nucleosidase, inosine-uridine preferring (EC 3.2.2.1)	lp_2825	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	326	lp_2825	35449	3.2.2.1			nucleobase-containing compound metabolic process [GO:0006139]; organonitrogen compound metabolic process [GO:1901564]		purine nucleosidase activity [GO:0008477]; nucleobase-containing compound metabolic process [GO:0006139]; organonitrogen compound metabolic process [GO:1901564]	GO:0006139; GO:0008477; GO:1901564	purine nucleosidase activity [GO:0008477]	
F9URT4	F9URT4_LACPL	Dihydrofolate reductase family protein	lp_2826	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	179	lp_2826	20157				riboflavin biosynthetic process [GO:0009231]		5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]; riboflavin biosynthetic process [GO:0009231]	GO:0008703; GO:0009231	5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]	
F9URT5	F9URT5_LACPL	Na(+)/H(+) antiporter	napA3 lp_2827	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	388	lp_2827	40796				proton transmembrane transport [GO:1902600]	membrane [GO:0016020]	membrane [GO:0016020]; antiporter activity [GO:0015297]; monoatomic cation transmembrane transporter activity [GO:0008324]; proton transmembrane transport [GO:1902600]	GO:0008324; GO:0015297; GO:0016020; GO:1902600	antiporter activity [GO:0015297]; monoatomic cation transmembrane transporter activity [GO:0008324]	
F9URT6	F9URT6_LACPL	Sugar specific permease, N-terminally truncated	lp_2828	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	164	lp_2828	18658					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9URT7	F9URT7_LACPL	Malate transport protein	mleP3 lp_2829	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	308	lp_2829	33636				transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0055085		SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9URT8	F9URT8_LACPL	Aspartate ammonia-lyase (EC 4.3.1.1)	ansB lp_2830	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	466	lp_2830	50445	4.3.1.1			tricarboxylic acid cycle [GO:0006099]		aspartate ammonia-lyase activity [GO:0008797]; tricarboxylic acid cycle [GO:0006099]	GO:0006099; GO:0008797	aspartate ammonia-lyase activity [GO:0008797]	
F9URT9	F9URT9_LACPL	Carbohydrate transporter, major facilitator superfamily (MFS)	lp_2833	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	395	lp_2833	42927					plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857	transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9URU0	F9URU0_LACPL	Phosphohydrolase, HAD superfamily	lp_2835	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	220	lp_2835	25376						hydrolase activity, acting on acid halide bonds, in C-halide compounds [GO:0019120]	GO:0019120	hydrolase activity, acting on acid halide bonds, in C-halide compounds [GO:0019120]	
F9URU1	F9URU1_LACPL	Multidrug transport protein, major facilitator superfamily (MFS)	lp_2836	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	494	lp_2836	53928					plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857	transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9URU2	F9URU2_LACPL	DUF4811 domain-containing protein	lp_2839	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	166	lp_2839	18281					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9URU3	F9URU3_LACPL	Ribosomal protein serine-acetylating enzyme (EC 2.3.1.-)	lp_2840	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	185	lp_2840	20816	2.3.1.-				ribosome [GO:0005840]	ribosome [GO:0005840]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	GO:0005840; GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	
F9URU5	F9URU5_LACPL	Transcription regulator, LysR family	lp_2842	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	275	lp_2842	30725				DNA-templated transcription [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription [GO:0006351]	GO:0003677; GO:0003700; GO:0006351	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
F9URU6	F9URU6_LACPL	Poly(Glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	tagE5 lp_2843	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	502	lp_2843	57670	2.4.1.52			protein transport [GO:0015031]		poly(glycerol-phosphate) alpha-glucosyltransferase activity [GO:0047265]; protein transport [GO:0015031]	GO:0015031; GO:0047265	poly(glycerol-phosphate) alpha-glucosyltransferase activity [GO:0047265]	
F9URU7	F9URU7_LACPL	Poly(Glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	tagE6 lp_2844	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	514	lp_2844	58337	2.4.1.52					poly(glycerol-phosphate) alpha-glucosyltransferase activity [GO:0047265]	GO:0047265	poly(glycerol-phosphate) alpha-glucosyltransferase activity [GO:0047265]	
F9URU8	F9URU8_LACPL	Extracellular transglycosylase, with LysM peptidoglycan binding domain	lp_2845	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	314	lp_2845	30708									
F9URU9	F9URU9_LACPL	Extracellular transglycosylase, with LysM peptidoglycan binding domain	lp_2847	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	354	lp_2847	35025									
F9URV0	F9URV0_LACPL	Methylated-DNA-[protein]-cysteine S-methyltransferase (EC 2.1.1.63)	ogt lp_2848	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	166	lp_2848	18613	2.1.1.63			DNA repair [GO:0006281]; methylation [GO:0032259]		methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; DNA repair [GO:0006281]; methylation [GO:0032259]	GO:0003908; GO:0006281; GO:0032259	methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]	
F9URV1	F9URV1_LACPL	ABC transporter, ATP-binding protein	lp_2849	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	299	lp_2849	33021						ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]	GO:0005524; GO:0016887; GO:0022857	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]	
F9URV2	F9URV2_LACPL	ABC transporter, permease protein	lp_2850	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	405	lp_2850	44976					membrane [GO:0016020]	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]	GO:0016020; GO:0140359	ABC-type transporter activity [GO:0140359]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9URV3	F9URV3_LACPL	Short-chain dehydrogenase/oxidoreductase (EC 1.-.-.-)	lp_2851	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	247	lp_2851	26049	1.-.-.-					oxidoreductase activity [GO:0016491]	GO:0016491	oxidoreductase activity [GO:0016491]	
F9URV4	F9URV4_LACPL	4-carboxymuconolactone decarboxylase (EC 4.1.1.44)	cmd lp_2852	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	106	lp_2852	11727	4.1.1.44					4-carboxymuconolactone decarboxylase activity [GO:0047575]; peroxiredoxin activity [GO:0051920]	GO:0047575; GO:0051920	4-carboxymuconolactone decarboxylase activity [GO:0047575]; peroxiredoxin activity [GO:0051920]	
F9URV5	F9URV5_LACPL	Cupin type-2 domain-containing protein	lp_2853	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	132	lp_2853	14650									
F9URV6	F9URV6_LACPL	Transcription regulator, MerR family	lp_2854	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	144	lp_2854	16910						DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
F9URV7	F9URV7_LACPL	Succinyl-diaminopimelate desuccinylase (EC 3.5.1.18)	dapE2 lp_2855	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	420	lp_2855	45370	3.5.1.18					succinyl-diaminopimelate desuccinylase activity [GO:0009014]	GO:0009014	succinyl-diaminopimelate desuccinylase activity [GO:0009014]	
F9URV8	F9URV8_LACPL	ABC transporter, permease protein	lp_2856	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	863	lp_2856	96934					plasma membrane [GO:0005886]	plasma membrane [GO:0005886]	GO:0005886		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9URV9	F9URV9_LACPL	ABC transporter, ATP-binding protein,C-terminal domain	lp_2857	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	134	lp_2857	14556						ATP binding [GO:0005524]	GO:0005524	ATP binding [GO:0005524]	
F9URW0	F9URW0_LACPL	ABC transporter, ATP-binding protein,N-terminal domain	lp_2858	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	78	lp_2858	8194						ATP binding [GO:0005524]	GO:0005524	ATP binding [GO:0005524]	
F9URW2	F9URW2_LACPL	Acetyltransferase (EC 2.3.1.-)	thgA3 lp_2861	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	206	lp_2861	22976	2.3.1.-					acetyltransferase activity [GO:0016407]	GO:0016407	acetyltransferase activity [GO:0016407]	
F9URW5	F9URW5_LACPL	Hypothetical membrane protein	lp_2864	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	155	lp_2864	18167					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9URW6	F9URW6_LACPL	Acetyltransferase, GNAT family	lp_2865	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	165	lp_2865	18021						acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	
F9URW7	F9URW7_LACPL	Hypothetical membrane protein	lp_2866	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	83	lp_2866	9577					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9URW8	F9URW8_LACPL	Uncharacterized protein	lp_2867	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	101	lp_2867	11209									
F9URW9	F9URW9_LACPL	Phosphoglycerate mutase family protein (EC 5.4.2.1)	pgm8 lp_2868	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	212	lp_2868	22899	5.4.2.1					isomerase activity [GO:0016853]	GO:0016853	isomerase activity [GO:0016853]	
F9URX0	F9URX0_LACPL	DUF4440 domain-containing protein	lp_2870	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	134	lp_2870	15616									
F9URX1	F9URX1_LACPL	Transcription regulator, LysR family	lp_2871	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	292	lp_2871	33686				DNA-templated transcription [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription [GO:0006351]	GO:0003677; GO:0003700; GO:0006351	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
F9URX2	F9URX2_LACPL	NAD(P)-dependent oxidoreductase, atypical SDR family, subgroup 6	lp_2872	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	198	lp_2872	21289									
F9URX3	F9URX3_LACPL	Alcohol dehydrogenase, zinc-binding (EC 1.1.1.1)	adh2 lp_2873	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	346	lp_2873	36692	1.1.1.1					alcohol dehydrogenase (NAD+) activity [GO:0004022]; zinc ion binding [GO:0008270]	GO:0004022; GO:0008270	alcohol dehydrogenase (NAD+) activity [GO:0004022]; zinc ion binding [GO:0008270]	
F9URX4	F9URX4_LACPL	Short-chain dehydrogenase/oxidoreductase	lp_2874	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	285	lp_2874	30650									
F9URX5	F9URX5_LACPL	Antitoxin MazE	lp_2876	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	73	lp_2876	8207									
F9URX6	F9URX6_LACPL	Universal stress protein	lp_2877	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	147	lp_2877	16287					cytoplasm [GO:0005737]	cytoplasm [GO:0005737]	GO:0005737		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|PIRNR:PIRNR006276}.
F9URX7	F9URX7_LACPL	Maltose O-acetyltransferase (EC 2.3.1.79)	maa lp_2878	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	189	lp_2878	20853	2.3.1.79					maltose O-acetyltransferase activity [GO:0008925]	GO:0008925	maltose O-acetyltransferase activity [GO:0008925]	
F9URX8	F9URX8_LACPL	Hydrolase, HAD superfamily, subfamily IA (EC 3.1.3.35, EC 3.1.3.5)	lp_2879	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	227	lp_2879	25426	3.1.3.35; 3.1.3.5					thymidylate 5'-phosphatase activity [GO:0050340]; XMP 5'-nucleosidase activity [GO:0106411]	GO:0050340; GO:0106411	thymidylate 5'-phosphatase activity [GO:0050340]; XMP 5'-nucleosidase activity [GO:0106411]	
F9URX9	F9URX9_LACPL	Uncharacterized protein	lp_2880	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	171	lp_2880	19607									
F9URY0	F9URY0_LACPL	Cell growth regulatory protein	chpA lp_2882	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	115	lp_2882	13274						DNA binding [GO:0003677]	GO:0003677	DNA binding [GO:0003677]	
F9URY1	F9URY1_LACPL	Transcription elongation factor GreAB	lp_2883	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	72	lp_2883	8163									
F9URY2	F9URY2_LACPL	Hypothetical membrane protein	lp_2885	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	179	lp_2885	20931					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9URY3	F9URY3_LACPL	NADP oxidoreductase, coenzyme F420-dependent	lp_2887	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	197	lp_2887	21044									
F9URY4	F9URY4_LACPL	Cystathionine beta-lyase (EC 4.4.1.8)	cblA2 lp_2888	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	390	lp_2888	43159	4.4.1.8			biosynthetic process [GO:0009058]		cystathionine beta-lyase activity [GO:0004121]; pyridoxal phosphate binding [GO:0030170]; biosynthetic process [GO:0009058]	GO:0004121; GO:0009058; GO:0030170	cystathionine beta-lyase activity [GO:0004121]; pyridoxal phosphate binding [GO:0030170]	
F9URY5	F9URY5_LACPL	Hydrogenase	lp_2889	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	288	lp_2889	32703									
F9URY6	F9URY6_LACPL	Aldo/keto reductase family protein (EC 1.1.1.-)	lp_2890	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	342	lp_2890	38350	1.1.1.-					oxidoreductase activity [GO:0016491]	GO:0016491	oxidoreductase activity [GO:0016491]	
F9URY7	F9URY7_LACPL	ABC transporter, ATP-binding and permease protein	lp_2893	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	595	lp_2893	68094					membrane [GO:0016020]	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016020; GO:0016887; GO:0140359	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9URY8	F9URY8_LACPL	ABC transporter, ATP-binding and permease protein	lp_2894	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	583	lp_2894	64196					membrane [GO:0016020]	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016020; GO:0016887; GO:0140359	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9URY9	F9URY9_LACPL	Transport protein, major facilitator superfamily (MFS), N-terminal domain	lp_2896	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	110	lp_2896	11963					plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857	transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9URZ0	F9URZ0_LACPL	Transport protein, major facilitator superfamily (MFS), C-terminal domain	lp_2897	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	343	lp_2897	37029					plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857	transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9URZ1	F9URZ1_LACPL	Integral membrane protein	lp_2899	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	75	lp_2899	9040					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9URZ2	F9URZ2_LACPL	Hypothetical membrane protein	lp_2900	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	183	lp_2900	20459					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
