Gene_ID,Start,End,Strand,Nr_ID,Nr_Description,Kegg_Gene_Name,Kegg_Definition,Kegg_EC,Kegg_Pathway,GO_ID,GO_terms,COG_ID,COG_Description,CAZy_Subject_ID,CAZy_activities,CAZy_note
1_1713 ,1817720,1819246,-,WP_003640707.1,D-alanine--poly(phosphoribitol) ligase subunit 1 [Lactobacillus plantarum],dltA,D-alanine--poly(phosphoribitol) ligase subunit 1 ,EC:6.1.1.13,ko00473 D-Alanine metabolism;ko01503 Cationic antimicrobial peptide (CAMP) resistance;ko02020 Two-component system;ko05150 Staphylococcus aureus infection;,GO:0003824,catalytic activity,gnl|CDD|223951,"COG1020, EntF, Non-ribosomal peptide synthetase modules and related proteins [Secondary metabolites biosynthesis, transport, and catabolism].",--,--,--
1_1714 ,1819289,1819438,-,WP_003640708.1,MULTISPECIES: teichoic acid D-Ala incorporation-associated protein DltX [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_1715 ,1819470,1820645,-,WP_003645971.1,MULTISPECIES: serine-type D-Ala-D-Ala carboxypeptidase [Lactobacillus],--,--,--,--,--,--,gnl|CDD|224594,"COG1680, AmpC, Beta-lactamase class C and other penicillin binding proteins [Defense mechanisms].",--,--,--
1_1716 ,1821079,1822221,-,WP_003640710.1,MULTISPECIES: molecular chaperone DnaJ [Lactobacillus],dnaJ,molecular chaperone DnaJ,--,,GO:0005524,ATP binding,gnl|CDD|223560,"COG0484, DnaJ, DnaJ-class molecular chaperone with C-terminal Zn finger domain [Posttranslational modification, protein turnover, chaperones].",ACI49189.1,"Modules of approx. 100 residues with glycogen-binding function, appended to GH13 modules. Also found in the beta subunit (glycogen-binding) of AMP-activated protein kinases (AMPK)",nan
1_1717 ,1822323,1824191,-,WP_003640711.1,MULTISPECIES: molecular chaperone DnaK [Lactobacillus],dnaK,molecular chaperone DnaK,--,ko03018 RNA degradation;ko04212 Longevity regulating pathway - worm;ko05152 Tuberculosis;,GO:0005524,ATP binding,gnl|CDD|223520,"COG0443, DnaK, Molecular chaperone [Posttranslational modification, protein turnover, chaperones].",CUI24525.1,chitinase (EC 3.2.1.14).,"Contains chitinases of classes I, II, and IV."
1_1718 ,1824235,1824843,-,ERO42559.1,co-chaperone GrpE [Lactobacillus plantarum WJL],GRPE,molecular chaperone GrpE,--,,GO:0000774,adenyl-nucleotide exchange factor activity,gnl|CDD|223649,"COG0576, GrpE, Molecular chaperone GrpE (heat shock protein) [Posttranslational modification, protein turnover, chaperones].",--,--,--
1_1719 ,1824855,1825898,-,WP_003640713.1,MULTISPECIES: heat-inducible transcriptional repressor HrcA [Lactobacillus],hrcA,heat-inducible transcriptional repressor,--,,GO:0003677,DNA binding,gnl|CDD|224338,"COG1420, HrcA, Transcriptional regulator of heat shock gene [Transcription].",--,--,--
1_1720 ,1826289,1826999,-,WP_003640714.1,acetolactate decarboxylase [Lactobacillus plantarum],"alsD, budA, aldC",acetolactate decarboxylase ,EC:4.1.1.5,ko00650 Butanoate metabolism;ko00660 C5-Branched dibasic acid metabolism;,GO:0045151,acetoin biosynthetic process,gnl|CDD|226058,"COG3527, AlsD, Alpha-acetolactate decarboxylase [Secondary metabolites biosynthesis, transport, and catabolism].",--,--,--
1_1721 ,1827000,1828001,-,WP_003640715.1,MULTISPECIES: riboflavin biosynthesis protein RibF [Lactobacillus],ribF,riboflavin kinase / FMN adenylyltransferase ,EC:2.7.1.26 2.7.7.2,ko00740 Riboflavin metabolism;,GO:0003919,FMN adenylyltransferase activity,gnl|CDD|223274,"COG0196, RibF, FAD synthase [Coenzyme metabolism].",--,--,--
1_1722 ,1828014,1828937,-,WP_003640716.1,MULTISPECIES: tRNA pseudouridine(55) synthase TruB [Lactobacillus],"truB, PUS4, TRUB1",tRNA pseudouridine55 synthase ,EC:5.4.99.25,,GO:0001522,pseudouridine synthesis,gnl|CDD|223208,"COG0130, TruB, Pseudouridine synthase [Translation, ribosomal structure and biogenesis].",--,--,--
1_1723 ,1829415,1829936,-,WP_003640717.1,MULTISPECIES: shikimate kinase [Lactobacillus],"E2.7.1.71, aroK, aroL",shikimate kinase ,EC:2.7.1.71,"ko00400 Phenylalanine, tyrosine and tryptophan biosynthesis;ko01230 Biosynthesis of amino acids;",--,--,gnl|CDD|223775,"COG0703, AroK, Shikimate kinase [Amino acid transport and metabolism].",--,--,--
1_1724 ,1829939,1831036,-,KRN34966.1,prephenate dehydrogenase [Lactobacillus plantarum],tyrA2,prephenate dehydrogenase ,EC:1.3.1.12,"ko00400 Phenylalanine, tyrosine and tryptophan biosynthesis;ko00401 Novobiocin biosynthesis;ko01230 Biosynthesis of amino acids;",GO:0004665,prephenate dehydrogenase (NADP+) activity,gnl|CDD|223364,"COG0287, TyrA, Prephenate dehydrogenase [Amino acid transport and metabolism].",--,--,--
1_1725 ,1831039,1832337,-,WP_013355606.1,3-phosphoshikimate 1-carboxyvinyltransferase [Lactobacillus plantarum],aroA,3-phosphoshikimate 1-carboxyvinyltransferase ,EC:2.5.1.19,"ko00400 Phenylalanine, tyrosine and tryptophan biosynthesis;ko01230 Biosynthesis of amino acids;",GO:0003824,catalytic activity,gnl|CDD|223206,"COG0128, AroA, 5-enolpyruvylshikimate-3-phosphate synthase [Amino acid transport and metabolism].",--,--,--
1_1726 ,1832351,1832878,-,WP_003645964.1,amino acid biosynthesis protein [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_1727 ,1832887,1834056,-,WP_013355607.1,MULTISPECIES: chorismate synthase [Lactobacillus],aroC,chorismate synthase ,EC:4.2.3.5,"ko00400 Phenylalanine, tyrosine and tryptophan biosynthesis;ko01230 Biosynthesis of amino acids;",GO:0004107,chorismate synthase activity,gnl|CDD|223160,"COG0082, AroC, Chorismate synthase [Amino acid transport and metabolism].",--,--,--
1_1728 ,1834049,1835503,-,WP_022637969.1,MFS transporter [Lactobacillus plantarum],--,--,--,--,GO:0005215,transporter activity,gnl|CDD|223553,"COG0477, ProP, Permeases of the major facilitator superfamily [Carbohydrate transport and metabolism / Amino acid transport and metabolism / Inorganic ion transport and metabolism / General function prediction only].",--,--,--
1_1729 ,1836152,1836505,-,WP_003640723.1,MULTISPECIES: 30S ribosome-binding factor RbfA [Lactobacillus],rbfA,ribosome-binding factor A,--,,GO:0006364,rRNA processing,gnl|CDD|223927,"COG0858, RbfA, Ribosome-binding factor A [Translation, ribosomal structure and biogenesis].",--,--,--
1_1730 ,1836528,1839104,-,WP_022637968.1,MULTISPECIES: translation initiation factor IF-2 [Lactobacillus],"infB, MTIF2",translation initiation factor IF-2,--,,GO:0003743,translation initiation factor activity,gnl|CDD|223606,"COG0532, InfB, Translation initiation factor 2 (IF-2; GTPase) [Translation, ribosomal structure and biogenesis].",--,--,--
1_1731 ,1839119,1839424,-,WP_013355610.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,gnl|CDD|224277,"COG1358, RPL8A, Ribosomal protein HS6-type (S12/L30/L7a) [Translation, ribosomal structure and biogenesis].",--,--,--
1_1732 ,1839414,1839713,-,WP_003640726.1,MULTISPECIES: YlxR family protein [Lactobacillus],ylxR,uncharacterized protein,--,,--,--,gnl|CDD|225350,"COG2740, COG2740, Predicted nucleic-acid-binding protein implicated in transcription termination [Transcription].",--,--,--
1_1733 ,1839758,1840975,-,WP_099738923.1,transcription termination/antitermination protein NusA [Lactobacillus plantarum],nusA,N utilization substance protein A,--,,GO:0003676,nucleic acid binding,gnl|CDD|223273,"COG0195, NusA, Transcription elongation factor [Transcription].",--,--,--
1_1734 ,1840996,1841472,-,WP_003640728.1,MULTISPECIES: ribosome maturation factor RimP [Lactobacillus],rimP,ribosome maturation factor RimP,--,,GO:0042274,ribosomal small subunit biogenesis,gnl|CDD|223850,"COG0779, COG0779, Uncharacterized protein conserved in bacteria [Function unknown].",--,--,--
1_1735 ,1841768,1846081,-,WP_003640729.1,MULTISPECIES: DNA polymerase III subunit alpha [Lactobacillus],"DPO3A2, polC","DNA polymerase III subunit alpha, Gram-positive type ",EC:2.7.7.7,ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko03030 DNA replication;ko03430 Mismatch repair;ko03440 Homologous recombination;,GO:0003676,nucleic acid binding,gnl|CDD|225087,"COG2176, PolC, DNA polymerase III, alpha subunit (gram-positive type) [DNA replication, recombination, and repair].",--,--,--
1_1736 ,1846575,1848284,-,WP_003640732.1,MULTISPECIES: proline--tRNA ligase [Lactobacillus],"PARS, proS",prolyl-tRNA synthetase ,EC:6.1.1.15,ko00970 Aminoacyl-tRNA biosynthesis;,GO:0000166,nucleotide binding,gnl|CDD|223519,"COG0442, ProS, Prolyl-tRNA synthetase [Translation, ribosomal structure and biogenesis].",--,--,--
1_1737 ,1848324,1849601,-,WP_003640733.1,MULTISPECIES: RIP metalloprotease RseP [Lactobacillus],rseP,regulator of sigma E protease ,EC:3.4.24.-,ko02024 Quorum sensing;ko04112 Cell cycle - Caulobacter;,GO:0004222,metalloendopeptidase activity,gnl|CDD|223821,"COG0750, COG0750, Predicted membrane-associated Zn-dependent proteases 1 [Cell envelope biogenesis, outer membrane].",--,--,--
1_1738 ,1849639,1850424,-,WP_003640734.1,MULTISPECIES: phosphatidate cytidylyltransferase [Lactobacillus],"E2.7.7.41, CDS1, CDS2, cdsA",phosphatidate cytidylyltransferase ,EC:2.7.7.41,ko00564 Glycerophospholipid metabolism;ko04070 Phosphatidylinositol signaling system;,GO:0016020,membrane,gnl|CDD|223648,"COG0575, CdsA, CDP-diglyceride synthetase [Lipid metabolism].",--,--,--
1_1739 ,1850440,1851219,-,WP_003640735.1,MULTISPECIES: isoprenyl transferase [Lactobacillus],uppS,undecaprenyl diphosphate synthase ,EC:2.5.1.31,ko00900 Terpenoid backbone biosynthesis;,GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",gnl|CDD|223099,"COG0020, UppS, Undecaprenyl pyrophosphate synthase [Lipid metabolism].",--,--,--
1_1740 ,1851339,1851902,-,WP_003640736.1,MULTISPECIES: ribosome recycling factor [Lactobacillus],"frr, MRRF, RRF",ribosome recycling factor,--,,GO:0006412,translation,gnl|CDD|223311,"COG0233, Frr, Ribosome recycling factor [Translation, ribosomal structure and biogenesis].",--,--,--
1_1741 ,1851904,1852626,-,WP_003640737.1,MULTISPECIES: UMP kinase [Lactobacillus],pyrH,uridylate kinase ,EC:2.7.4.22,ko00240 Pyrimidine metabolism;,GO:0005737,cytoplasm,gnl|CDD|223602,"COG0528, PyrH, Uridylate kinase [Nucleotide transport and metabolism].",--,--,--
1_1742 ,1852827,1853705,-,WP_003644498.1,MULTISPECIES: elongation factor Ts [Lactobacillus],"tsf, TSFM",elongation factor Ts,--,,GO:0003746,translation elongation factor activity,gnl|CDD|223342,"COG0264, Tsf, Translation elongation factor Ts [Translation, ribosomal structure and biogenesis].",--,--,--
1_1743 ,1853808,1854611,-,WP_003640739.1,MULTISPECIES: 30S ribosomal protein S2 [Lactobacillus],"RP-S2, MRPS2, rpsB",small subunit ribosomal protein S2,--,ko03010 Ribosome;,GO:0003735,structural constituent of ribosome,gnl|CDD|223130,"COG0052, RpsB, Ribosomal protein S2 [Translation, ribosomal structure and biogenesis].",--,--,--
1_1744 ,1854836,1855558,+,WP_064578177.1,HAD family hydrolase [Lactobacillus plantarum],K07025,putative hydrolase of the HAD superfamily,--,,GO:0016787,hydrolase activity,gnl|CDD|223943,"COG1011, COG1011, Predicted hydrolase (HAD superfamily) [General function prediction only].",--,--,--
1_1745 ,1855847,1856845,-,WP_003640741.1,MULTISPECIES: D-2-hydroxyacid dehydrogenase [Lactobacillus],ldhA,D-lactate dehydrogenase ,EC:1.1.1.28,ko00620 Pyruvate metabolism;,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",gnl|CDD|223980,"COG1052, LdhA, Lactate dehydrogenase and related dehydrogenases [Energy production and conversion / Coenzyme metabolism / General function prediction only].",--,--,--
1_1746 ,1856930,1857235,-,CDN28915.1,hypothetical protein LP80_2231 [Lactobacillus plantarum],K07461,putative endonuclease,--,,--,--,gnl|CDD|225383,"COG2827, COG2827, Predicted endonuclease containing a URI domain [DNA replication, recombination, and repair].",--,--,--
1_1747 ,1857219,1857977,-,WP_013355612.1,tRNA1(Val) (adenine(37)-N6)-methyltransferase [Lactobacillus plantarum],K07461,putative endonuclease,--,,GO:0003676,nucleic acid binding,gnl|CDD|226608,"COG4123, COG4123, Predicted O-methyltransferase [General function prediction only].",--,--,--
1_1748 ,1858089,1858724,+,WP_003645630.1,MULTISPECIES: 1-acyl-sn-glycerol-3-phosphate acyltransferase [Lactobacillus],plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase ,EC:2.3.1.51,ko00561 Glycerolipid metabolism;ko00564 Glycerophospholipid metabolism;,GO:0016746,"transferase activity, transferring acyl groups",gnl|CDD|223282,"COG0204, PlsC, 1-acyl-sn-glycerol-3-phosphate acyltransferase [Lipid metabolism].",--,--,--
1_1749 ,1858781,1859011,-,ADN98866.1,hypothetical protein LPST_C1650 [Lactobacillus plantarum subsp. plantarum ST-III],K09976,uncharacterized protein,--,,--,--,gnl|CDD|226286,"COG3763, COG3763, Uncharacterized protein conserved in bacteria [Function unknown].",--,--,--
1_1750 ,1859115,1859387,-,AGO08290.1,hypothetical protein Lp16_1605 [Lactobacillus plantarum 16],--,--,--,--,--,--,gnl|CDD|226677,"COG4224, COG4224, Uncharacterized protein conserved in bacteria [Function unknown].",--,--,--
1_1751 ,1859506,1860138,+,WP_003640747.1,MULTISPECIES: transcriptional repressor LexA [Lactobacillus],lexA,repressor LexA ,EC:3.4.21.88,,GO:0003677,DNA binding,gnl|CDD|224885,"COG1974, LexA, SOS-response transcriptional repressors (RecA-mediated autopeptidases) [Transcription / Signal transduction mechanisms].",--,--,--
1_1752 ,1860762,1861391,+,WP_003645631.1,hypothetical protein [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_1753 ,1861441,1862610,-,WP_063722580.1,hydroxymethylglutaryl-CoA synthase [Lactobacillus plantarum],E2.3.3.10,hydroxymethylglutaryl-CoA synthase ,EC:2.3.3.10,"ko00072 Synthesis and degradation of ketone bodies;ko00280 Valine, leucine and isoleucine degradation;ko00650 Butanoate metabolism;ko00900 Terpenoid backbone biosynthesis;",GO:0003824,catalytic activity,gnl|CDD|225959,"COG3425, PksG, 3-hydroxy-3-methylglutaryl CoA synthase [Lipid metabolism].",--,--,--
1_1754 ,1862646,1863038,-,WP_003640750.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_1755 ,1863202,1863594,+,WP_003644503.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_1756 ,1864040,1864981,+,WP_003640752.1,MULTISPECIES: glycosyltransferase [Lactobacillus],--,--,--,--,--,--,gnl|CDD|223539,"COG0463, WcaA, Glycosyltransferases involved in cell wall biogenesis [Cell envelope biogenesis, outer membrane].",AHN69424.1,"cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenolÃ¯Â¿Â½mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)","Distant similarity to families GT12, GT21, GT27, GT55, GT81 etc."
1_1757 ,1865733,1866305,-,WP_013355616.1,transposase [Lactobacillus plantarum],--,--,--,--,GO:0043565,sequence-specific DNA binding,--,--,--,--,--
1_1758 ,1866457,1867617,-,KOE71078.1,LytR family transcriptional regulator [Lactobacillus plantarum],--,--,--,--,--,--,gnl|CDD|224235,"COG1316, LytR, Transcriptional regulator [Transcription].",--,--,--
1_1759 ,1867622,1868413,-,WP_003645638.1,ABC transporter ATP-binding protein [Lactobacillus plantarum],ABC.SN.A,NitT/TauT family transport system ATP-binding protein,--,,GO:0005524,ATP binding,gnl|CDD|224041,"COG1116, TauB, ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component [Inorganic ion transport and metabolism].",AAO41659.1,"Modules of approx. 70 residues. The chitin-binding function has been demonstrated in several cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats.",nan
1_1760 ,1868889,1870064,+,WP_053339307.1,IS256 family transposase [Lactobacillus plantarum],--,--,--,--,GO:0003677,DNA binding,gnl|CDD|225865,"COG3328, COG3328, Transposase and inactivated derivatives [DNA replication, recombination, and repair].",--,--,--
1_1761 ,1870119,1871534,-,WP_022637962.1,ABC transporter permease subunit [Lactobacillus plantarum],ABC.SN.P,NitT/TauT family transport system permease protein,--,,GO:0016020,membrane,gnl|CDD|227319,"COG4986, COG4986, ABC-type anion transport system, duplicated permease component [Inorganic ion transport and metabolism].",--,--,--
1_1762 ,1872013,1873224,-,WP_076633649.1,FtsW/RodA/SpoVE family cell cycle protein [Lactobacillus plantarum],"rodA, mrdB",rod shape determining protein RodA,--,,GO:0016021,integral component of membrane,gnl|CDD|223843,"COG0772, FtsW, Bacterial cell division membrane protein [Cell division and chromosome partitioning].",AMC73549.1,"1,2-diacylglycerol 3-beta-galactosyltransferase (EC 2.4.1.46); 1,2-diacylglycerol 3-beta-glucosyltransferase (EC 2.4.1.157);  UDP-GlcNAc: Und-PP-MurAc-pentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227).",Distantly related to family GT1
1_1763 ,1873871,1874773,-,WP_058906869.1,NUDIX hydrolase [Lactobacillus plantarum],--,--,--,--,GO:0016787,hydrolase activity,gnl|CDD|223568,"COG0494, MutT, NTP pyrophosphohydrolases including oxidative damage repair enzymes [DNA replication, recombination, and repair / General function prediction only].",--,--,--
1_1764 ,1874854,1876029,-,WP_053339307.1,IS256 family transposase [Lactobacillus plantarum],--,--,--,--,GO:0003677,DNA binding,gnl|CDD|225865,"COG3328, COG3328, Transposase and inactivated derivatives [DNA replication, recombination, and repair].",--,--,--
1_1765 ,1876137,1876421,-,ALV14666.1,hypothetical protein AD081_07615 [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_1766 ,1877098,1877238,-,KYK50623.1,transposase [Lactobacillus plantarum],K07483,transposase,--,,--,--,--,--,--,--,--
1_1767 ,1877813,1878019,-,ADN98930.1,hypothetical protein LPST_C1714 [Lactobacillus plantarum subsp. plantarum ST-III],--,--,--,--,--,--,--,--,--,--,--
1_1768 ,1878194,1878955,-,WP_033098959.1,MULTISPECIES: SAM-dependent methyltransferase [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_1769 ,1879067,1879414,+,WP_003640765.1,MULTISPECIES: heavy metal-binding domain-containing protein [Lactobacillus],--,--,--,--,--,--,gnl|CDD|223470,"COG0393, COG0393, Uncharacterized conserved protein [Function unknown].",--,--,--
1_1770 ,1879511,1880722,-,WP_003640766.1,MULTISPECIES: MFS transporter [Lactobacillus],--,--,--,--,GO:0016021,integral component of membrane,gnl|CDD|225371,"COG2814, AraJ, Arabinose efflux permease [Carbohydrate transport and metabolism].",--,--,--
1_1771 ,1880838,1881422,+,KRN34874.1,hypothetical protein IV39_GL001543 [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_1772 ,1881565,1882083,-,WP_003640768.1,MULTISPECIES: adenine phosphoribosyltransferase [Lactobacillus],"APRT, apt",adenine phosphoribosyltransferase ,EC:2.4.2.7,ko00230 Purine metabolism;,GO:0003999,adenine phosphoribosyltransferase activity,gnl|CDD|223577,"COG0503, Apt, Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins [Nucleotide transport and metabolism].",--,--,--
1_1773 ,1882102,1884438,-,WP_013355656.1,MULTISPECIES: single-stranded-DNA-specific exonuclease RecJ [Lactobacillus],recJ,single-stranded-DNA-specific exonuclease ,EC:3.1.-.-,ko03410 Base excision repair;ko03430 Mismatch repair;ko03440 Homologous recombination;,GO:0003676,nucleic acid binding,gnl|CDD|223681,"COG0608, RecJ, Single-stranded DNA-specific exonuclease [DNA replication, recombination, and repair].",--,--,--
1_1774 ,1884460,1884810,-,WP_003644563.1,MULTISPECIES: LapA family protein [Lactobacillus],--,--,--,--,GO:0005887,integral component of plasma membrane,--,--,--,--,--
1_1775 ,1884823,1885614,-,WP_013355657.1,MULTISPECIES: SDR family NAD(P)-dependent oxidoreductase [Lactobacillus],K07124,uncharacterized protein,--,,--,--,gnl|CDD|223377,"COG0300, DltE, Short-chain dehydrogenases of various substrate specificities [General function prediction only].",--,--,--
1_1776 ,1885624,1886559,-,WP_003640772.1,MULTISPECIES: ribonuclease Z [Lactobacillus],rnz,ribonuclease Z ,EC:3.1.26.11,ko03013 RNA transport;,GO:0016891,"endoribonuclease activity, producing 5'-phosphomonoesters",gnl|CDD|224155,"COG1234, ElaC, Metal-dependent hydrolases of the beta-lactamase superfamily III [General function prediction only].",--,--,--
1_1777 ,1886992,1887276,+,WP_003644565.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_1778 ,1887423,1888718,-,WP_003644566.1,MULTISPECIES: GTPase ObgE [Lactobacillus],"obgE, cgtA",GTPase ,EC:3.6.5.-,,GO:0000166,nucleotide binding,gnl|CDD|223610,"COG0536, Obg, Predicted GTPase [General function prediction only].",--,--,--
1_1779 ,1888966,1889721,+,WP_003644567.1,MULTISPECIES: DeoR/GlpR transcriptional regulator [Lactobacillus],"fruR2, fruR","DeoR family transcriptional regulator, fructose operon transcriptional repressor",--,,GO:0003700,DNA-binding transcription factor activity,gnl|CDD|224268,"COG1349, GlpR, Transcriptional regulators of sugar metabolism [Transcription / Carbohydrate transport and metabolism].",--,--,--
1_1780 ,1889718,1890635,+,WP_013355660.1,MULTISPECIES: 1-phosphofructokinase [Lactobacillus],fruK,1-phosphofructokinase ,EC:2.7.1.56,ko00051 Fructose and mannose metabolism;,GO:0005975,carbohydrate metabolic process,gnl|CDD|224030,"COG1105, FruK, Fructose-1-phosphate kinase and related fructose-6-phosphate kinase (PfkB) [Carbohydrate transport and metabolism].",--,--,--
1_1781 ,1890657,1892624,+,WP_003640777.1,MULTISPECIES: PTS fructose transporter subunit IIC [Lactobacillus],"PTS-Fru-EIIA, fruB","PTS system, fructose-specific IIA component ",EC:2.7.1.202,ko00051 Fructose and mannose metabolism;ko02060 Phosphotransferase system (PTS);,GO:0005351,carbohydrate:proton symporter activity,gnl|CDD|224218,"COG1299, FruA, Phosphotransferase system, fructose-specific IIC component [Carbohydrate transport and metabolism].",--,--,--
1_1782 ,1892764,1894086,+,AGE39640.1,"Metallophosphoesterase, lipoprotein [Lactobacillus plantarum ZJ316]",--,--,--,--,GO:0016787,hydrolase activity,gnl|CDD|224327,"COG1409, Icc, Predicted phosphohydrolases [General function prediction only].",--,--,--
1_1783 ,1894194,1895645,-,EFK29466.1,polysaccharide biosynthesis protein [Lactobacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437],--,--,--,--,GO:0016020,membrane,gnl|CDD|225153,"COG2244, RfbX, Membrane protein involved in the export of O-antigen and teichoic acid [General function prediction only].",--,--,--
1_1784 ,1895725,1896693,-,WP_013355663.1,MULTISPECIES: glycosyltransferase [Lactobacillus],--,--,--,--,--,--,gnl|CDD|223539,"COG0463, WcaA, Glycosyltransferases involved in cell wall biogenesis [Cell envelope biogenesis, outer membrane].",ADN98948.1,"cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenolÃ¯Â¿Â½mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)","Distant similarity to families GT12, GT21, GT27, GT55, GT81 etc."
1_1785 ,1896678,1897952,-,WP_013355664.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,gnl|CDD|225844,"COG3307, RfaL, Lipid A core - O-antigen ligase and related enzymes [Cell envelope biogenesis, outer membrane].",--,--,--
1_1786 ,1897949,1898977,-,WP_011101653.1,MULTISPECIES: glycosyltransferase [Lactobacillus],--,--,--,--,--,--,gnl|CDD|223515,"COG0438, RfaG, Glycosyltransferase [Cell envelope biogenesis, outer membrane].",AMX10650.1,"sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); GDP-Man alpha-mannosyltransferase (EC 2.4.1.-); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157);  diglucosyl diacylglycerol synthase (EC 2.4.1.208); digalactosyldiacylglycerol synthase (EC 2.4.1.141); trehalose phosphorylase (EC 2.4.1.231); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-)",nan
1_1787 ,1898993,1900084,-,WP_003640783.1,MULTISPECIES: glycosyltransferase family 1 protein [Lactobacillus],--,--,--,--,--,--,gnl|CDD|223515,"COG0438, RfaG, Glycosyltransferase [Cell envelope biogenesis, outer membrane].",ANM75052.1,"sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); GDP-Man alpha-mannosyltransferase (EC 2.4.1.-); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157);  diglucosyl diacylglycerol synthase (EC 2.4.1.208); digalactosyldiacylglycerol synthase (EC 2.4.1.141); trehalose phosphorylase (EC 2.4.1.231); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-)",nan
1_1788 ,1900084,1900749,-,WP_024521680.1,MULTISPECIES: sugar transferase [Lactobacillus],--,--,--,--,--,--,gnl|CDD|225059,"COG2148, WcaJ, Sugar transferases involved in lipopolysaccharide synthesis [Cell envelope biogenesis, outer membrane].",ALO42129.1,"cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenolÃ¯Â¿Â½mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)","Distant similarity to families GT12, GT21, GT27, GT55, GT81 etc."
